,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B
23,-0.22089314,-0.1365242,0.015339851,-0.0061359406,-0.052155256,-0.8943107,-1.1903689,0.08260107,1.3529711,0.23469901,-0.019984007,0.8268156,1.1842332,0.085237265,1.3606408,-0.22702909,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,-0.20095158,-0.13499022,0.015339851,-0.0061359406,-0.05062127,-0.9050486,-1.1903689,0.07469249,1.3529711,0.23469901,-0.019984007,0.8467574,1.1842332,0.07732868,1.3591068,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,-0.19021368,-0.12885427,0.015339851,-0.0076699257,-0.052155256,-0.9065826,-1.1903689,0.07469249,1.3529711,0.23469901,-0.019984007,0.86056304,1.1842332,0.07732868,1.3591068,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,-0.17027187,-0.099708796,0.013805866,-0.0061359406,-0.05062127,-0.9081166,-1.1903689,0.07732868,1.3529711,0.23469901,-0.019984007,0.87897086,1.1842332,0.08172238,1.3591068,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,-0.14419413,-0.07056308,0.015339851,-0.0061359406,-0.05062127,-0.9065826,-1.1903689,0.08347976,1.3529711,0.23469901,-0.018450022,0.8943107,1.1842332,0.08963096,1.3575733,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,-0.11811662,-0.03528166,0.015339851,-0.0061359406,-0.052155256,-0.90044665,-1.1903689,0.09314585,1.3529711,0.23469901,-0.019984007,0.8973787,1.1842332,0.10105443,1.3575733,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,-0.102776766,-0.015339851,0.015339851,-0.0061359406,-0.05062127,-0.8943107,-1.1903689,0.10105443,1.3529711,0.23469901,-0.019984007,0.89891267,1.1842332,0.10896313,1.3575733,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,-0.07363105,0.023009777,0.015339851,-0.0061359406,-0.05062127,-0.88510704,-1.1903689,0.116871715,1.3514371,0.23469901,-0.019984007,0.89891267,1.1842332,0.12565911,1.3560393,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,-0.046019316,0.05675721,0.015339851,-0.0061359406,-0.05062127,-0.87283516,-1.1903689,0.13620389,1.3514371,0.23469901,-0.018450022,0.8958447,1.1842332,0.14411247,1.3575733,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,-0.027611732,0.081300974,0.015339851,-0.0061359406,-0.052155256,-0.85289335,-1.1903689,0.16256595,1.3499031,0.23316503,-0.019984007,0.8851068,1.1842332,0.16695952,1.3575733,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,-0.010737896,0.096640825,0.015339851,-0.0061359406,-0.052155256,-0.8390875,-1.1903689,0.1836555,1.3514371,0.23469901,-0.019984007,0.87130094,1.1842332,0.18453431,1.3560393,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.016873837,0.11351466,0.015339851,-0.0061359406,-0.052155256,-0.81147575,-1.1903689,0.21001756,1.3499031,0.23316503,-0.019984007,0.85135937,1.1842332,0.20562387,1.3560393,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.0475533,0.1196506,0.015339851,-0.0061359406,-0.052155256,-0.7792623,-1.1903689,0.24604571,1.3499031,0.23469901,-0.019984007,0.82067966,1.1842332,0.23550093,1.3560393,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0.06902909,0.1196506,0.015339851,-0.0061359406,-0.052155256,-0.7562525,-1.1903689,0.27065027,1.3499031,0.23469901,-0.019984007,0.8007381,1.1842332,0.2539543,1.3560393,-0.22856307,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0.096640825,0.11044669,0.015339851,-0.0061359406,-0.052155256,-0.7255728,-1.1903689,0.30404222,1.3514371,0.23469901,-0.018450022,0.77466035,1.1842332,0.28207386,1.3560393,-0.23009706,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
